rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
202,绿里奇迹,8.7,110737, Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,天使暂时离开。,https://movie.douban.com/subject/1300374/
203,终结者2：审判日,8.6,146648, 詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
204,源代码,8.3,423192, 邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
205,模仿游戏,8.6,266402, 莫腾·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
206,勇闯夺命岛,8.5,146765, 迈克尔·贝 Michael Bay,1996,美国,动作 冒险,类型片的极致。 ,https://movie.douban.com/subject/1292728/
207,新龙门客栈,8.5,191467, 李惠民 Raymond Lee,1992,香港 中国大陆,剧情 动作 武侠 古装,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
208,黑客帝国3：矩阵革命,8.5,162423, Andy Wachowski / Larry Wachowski,2003,美国 澳大利亚,动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
209,这个男人来自地球,8.5,189156, 理查德·沙因克曼 Richard Schenkman,2007,美国,剧情 科幻,科幻真正的魅力不是视觉效果能取代的。 ,https://movie.douban.com/subject/2300586/
210,卡萨布兰卡,8.6,129027, Michael Curtiz,1942,美国,剧情 爱情 战争,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,https://movie.douban.com/subject/1296753/
211,一个叫欧维的男人决定去死,8.7,125174, 汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
212,小萝莉的猴神大叔,8.6,150908, 卡比尔·汗 Kabir Khan,2015,印度,剧情 喜剧 动作,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/26393561/
214,变脸,8.4,221305, 吴宇森 John Woo,1997,美国,动作 科幻 犯罪 惊悚,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,https://movie.douban.com/subject/1292659/
215,你的名字。,8.4,492225, 新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
216,荒野生存,8.6,131801, 西恩·潘 Sean Penn,2007,美国,冒险 传记 剧情,出门必备：本草纲目。,https://movie.douban.com/subject/1905462/
217,迁徙的鸟,9.1,52998, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2001,法国 德国 意大利 西班牙 瑞士,纪录片,最美的飞翔。,https://movie.douban.com/subject/1292281/
218,E.T. 外星人,8.5,158969, Steven Spielberg,1982,美国,剧情 科幻,生病的E.T.皮肤的颜色就像柿子饼。,https://movie.douban.com/subject/1294638/
219,发条橙,8.4,191938, Stanley Kubrick,1971,英国 美国,犯罪 剧情 科幻,我完全康复了。,https://movie.douban.com/subject/1292233/
220,无耻混蛋,8.4,230948, Quentin Tarantino,2009,美国 德国,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
221,初恋这件小事,8.3,478628, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
